date, pm25, pm10, o3, no2, so2, co
2022/10/3, 39, 12, 24, 11, 4, 3
2022/10/4, 25, 10, 22, 12, 3, 2
2022/10/5, 25, 6, 17, 12, 3, 2
2022/10/6, 7, 7, 22, 12, 3, 2
2022/10/7, 17, 9, 28, 17, 3, 3
2022/10/8, 19, 7, 26, 13, 3, 2
2022/10/9, 15, 6, 26, 6, 4, 4
2022/10/10, 13, 13, 25, 11, 4, 4
2022/10/11, 32, 17, 26, 26, 4, 5
2022/10/12, 47, 16, 30, 26, 4, 4
2022/10/13, 36, 22, 26, 28, 4, 4
2022/10/14, 56, 27, 45, 23, 4, 4
2022/10/15, 66, 32, 23, 24, , 4
2022/10/16, 72, 25, 23, 10, 4, 3
2022/10/17, 33, 18, 25, 15, 4, 4
2022/10/18, 33, 20, 27, 22, 4, 4
2022/10/19, 36, 30, 33, 33, , 5
2022/10/20, 63, 48, 43, 38, 5, 5
2022/10/21, 95, 42, 41, 33, 4, 5
2022/10/22, 90, 36, 36, 14, , 3
2022/10/23, 65, 20, 28, 15, 4, 3
2022/10/24, 35, 12, 24, 20, 3, 4
2022/10/25, 24, 15, 19, 30, 2, 4
2022/10/26, 33, 32, 31, 30, 3, 5
2022/10/27, 68, 37, 33, 32, 4, 6
2022/10/28, 76, 23, 33, 28, 3, 5
2022/10/29, 59, 21, 34, 30, 3, 6
2022/10/30, 59, 23, 27, 27, 2, 4
2022/10/31, 51, 45, 33, 30, 3, 5
2022/11/1, 90, 26, 23, 27, 4, 5
2022/11/2, 47, 27, 24, 25, 4, 6
2022/11/3, 54, 21, 24, 11, 4, 6
2022/11/4, 29, 25, 25, 26, 4, 8
2022/11/5, 51, 26, 29, 30, 4, 7
2022/11/6, 59, 34, 28, 38, 5, 8
2022/11/7, 66, 45, 35, 34, 4, 7
2022/11/8, 91, 56, 34, 39, 4, 9
2022/11/9, 122, 64, 36, 40, 4, 9
